NOTA,NOTA_AÑO,NOTA_DURACION (min),NOTA_GENERO,NOTA_DIRECCION,NOTA_PROTAGONISTA,NOTA_PAIS,NOTA_VOTOS,AÑO_RANKING,DURACION_RANKING,GENERO_RANKING,DIRECCION_RANKING,PROTAGONISTA_RANKING,PAIS_RANKING,VOTOS_RANKING
6.9,6.45,6.4,6.47,6.4,6.58,6.48,6.9,1,1,6,2,3,3,4
5.9,6.87,6.4,6.47,5.9,5.95,6.66,5.9,8,1,6,0,0,4,0
5.9,6.61,6.43,6.47,5.95,6.38,6.48,5.9,4,1,6,0,2,3,0
6.4,6.44,6.43,6.47,6.4,6.4,6.4,6.4,1,1,6,2,2,2,2
6.6,6.42,6.41,6.63,6.3,6.3,6.4,6.6,1,1,8,2,1,2,2
6.4,6.49,7.14,6.63,6.88,6.4,6.73,6.4,2,5,8,4,2,4,2
7.3,6.42,6.69,6.63,6.82,7.3,6.75,7.3,1,2,8,4,5,4,5
7.4,6.69,6.66,6.42,6.69,6.41,6.48,7.4,5,2,5,3,2,3,5
6.9,6.4,6.66,6.63,6.9,6.67,6.6,6.6,0,2,8,4,3,3,2
6.8,6.49,6.48,6.63,6.29,6.42,6.48,6.8,2,1,8,2,2,3,3
6.2,6.42,6.61,6.68,6.24,6.2,6.48,6.2,1,2,9,1,1,3,1
6.8,6.5,6.43,6.47,6.8,6.5,6.76,6.8,2,1,6,4,2,4,3
6.7,6.49,6.56,6.36,6.23,6.54,6.78,6.7,2,2,5,1,2,4,3
6.1,6.4,6.55,6.63,6.65,6.1,6.6,6.1,0,2,8,3,1,3,1
6.3,6.49,6.47,6.47,6.3,6.85,6.6,6.3,2,1,6,2,4,3,1
6.8,6.49,6.43,6.63,6.55,6.8,6.4,6.8,2,1,8,3,3,2,3
5.8,6.49,6.51,6.28,6.3,6.55,6.48,5.8,2,1,3,2,2,3,0
5.8,6.78,7.0,6.46,6.62,6.77,6.49,5.8,6,4,6,3,3,3,0
6.9,6.5,6.51,6.63,6.9,6.9,6.4,6.44,2,1,8,4,4,2,2
6.1,6.53,6.53,6.47,6.5,6.41,6.48,6.1,2,1,6,3,2,3,1
6.3,6.49,6.48,6.47,6.3,6.52,6.4,6.3,2,1,6,2,2,2,1
6.1,6.42,6.64,6.68,6.15,6.52,6.4,6.1,1,2,9,1,2,2,1
7.7,6.45,6.61,6.68,6.72,6.7,6.49,7.7,1,2,9,4,3,3,7
6.3,6.4,6.47,6.68,6.3,6.3,6.65,6.3,0,1,9,2,1,4,1
6.7,6.4,6.31,6.63,6.7,6.7,6.75,6.25,0,0,8,3,3,4,1
6.5,6.45,6.43,6.63,6.5,6.3,6.54,6.53,1,1,8,3,1,3,2
6.5,6.57,6.58,6.42,6.58,6.75,6.49,6.5,3,2,5,3,3,3,2
6.1,6.7,6.5,6.42,6.42,6.38,6.48,6.1,5,1,5,2,2,3,1
5.8,6.42,6.41,6.47,6.0,6.28,6.48,5.8,1,1,6,0,1,3,0
6.2,6.49,6.4,6.47,5.97,6.43,6.6,6.2,2,1,6,0,2,3,1
7.4,6.41,6.64,6.63,7.4,7.4,6.4,7.4,1,2,8,6,6,2,5
6.1,6.57,6.56,6.42,6.24,6.88,6.48,6.1,3,2,5,1,4,3,1
7.1,6.6,6.6,6.47,6.89,6.92,6.56,7.1,4,2,6,4,4,3,4
6.2,6.44,6.81,6.4,6.2,6.2,6.78,6.38,1,3,5,1,1,4,2
6.3,6.44,6.63,6.47,6.3,6.35,6.48,6.3,1,2,6,2,2,3,1
7.6,6.56,6.62,6.63,7.06,6.66,6.48,7.6,3,2,8,5,3,3,6
5.8,6.49,6.57,6.47,5.8,6.46,6.6,5.85,2,2,6,0,2,3,0
6.0,6.4,6.66,6.47,6.68,6.0,6.48,6.0,0,2,6,3,0,3,0
7.1,6.58,6.47,6.57,6.52,6.7,6.49,7.1,3,1,7,3,3,3,4
6.8,6.57,6.4,6.47,6.75,6.45,6.69,6.5,3,1,6,4,2,4,2
6.7,6.58,6.58,6.28,6.29,6.5,6.49,6.7,3,2,3,2,2,3,3
6.4,6.49,6.5,6.28,6.4,6.63,6.49,6.4,2,1,3,2,3,3,2
6.1,6.53,6.43,6.63,6.1,6.1,6.43,6.1,2,1,8,1,1,2,1
7.5,6.45,7.09,6.47,7.5,7.5,6.98,7.5,1,5,6,7,6,5,6
6.5,6.4,6.6,6.47,6.57,6.5,6.6,6.25,0,2,6,3,2,3,1
7.0,6.75,7.05,6.47,7.0,7.0,6.6,7.0,6,4,6,5,4,3,4
7.2,6.49,6.58,6.63,6.87,7.2,6.71,7.2,2,2,8,4,5,4,5
6.4,6.42,6.6,6.63,6.13,6.18,6.48,6.4,1,2,8,1,1,3,2
6.5,6.45,6.41,6.63,6.5,6.2,6.4,6.5,1,1,8,3,1,2,2
6.5,6.4,6.48,6.63,6.77,6.36,6.49,6.5,0,1,8,4,2,3,2
6.1,6.44,6.43,6.47,6.1,6.1,6.48,6.1,1,1,6,1,1,3,1
6.4,6.44,6.54,6.47,6.4,6.5,6.49,6.15,1,1,6,2,2,3,1
6.0,6.6,6.5,6.47,6.0,6.2,6.48,6.0,4,1,6,0,1,3,0
6.9,6.46,6.47,6.63,6.9,6.58,6.48,6.9,1,1,8,4,3,3,4
6.2,6.53,6.31,6.63,6.2,6.4,6.48,6.2,2,0,8,1,2,3,1
6.3,6.6,6.42,6.63,6.48,6.53,6.6,6.5,4,1,8,2,2,3,2
