TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
(500) días juntos,2009,96,Romance,Marc Webb,Marc Webb,Joseph Gordon-Levitt,Estados Unidos,6.9,62814
"...Y si no, nos enfadamos",1974,92,Comedia,Marcello Fondato,Marcello Fondato,Terence Hill,Italia,5.9,5238
10 razones para odiarte,1999,97,Comedia,Gil Junger,Gil Junger,Heath Ledger,Estados Unidos,5.9,21667
10.000 KM,2014,98,Romance,Carlos Marqués-Marcet,Carlos Marqués-Marcet,Natalia Tena,España,6.4,10015
100 metros,2016,108,Drama,Marcel Barrena,Marcel Barrena,Dani Rovira,España,6.6,8968
12,2007,153,Drama,Nikita Mikhalkov,Nikita Mikhalkov,Sergey Makovetskiy,Rusia,6.4,1841
12 años de esclavitud,2013,133,Drama,Steve McQueen,Steve McQueen,Miklós B. Székely,Hungría,7.3,63616
12 monos,1995,130,Ciencia ficción,Terry Gilliam,Terry Gilliam,Bruce Willis,Estados Unidos,7.4,119335
120 pulsaciones por minuto,2017,143,Drama,Robin Campillo,Robin Campillo,Nahuel Pérez Biscayart,Francia,6.9,4105
127 horas,2010,93,Drama,Danny Boyle,Danny Boyle,James Franco,Estados Unidos,6.8,58339
13 Horas: Los soldados secretos de Bengasi,2016,144,Bélico,Michael Bay,Michael Bay,John Krasinski,Estados Unidos,6.2,9899
13 Tzameti,2005,95,Thriller,Géla Babluani,Géla Babluani,Cillian Murphy,Irlanda,6.8,7352
13 asesinos,2010,126,Acción,Takashi Miike,Takashi Miike,Kôji Yakusho,Japón,6.7,9968
13 minutos para matar a Hitler,2015,110,Drama,Oliver Hirschbiegel,Oliver Hirschbiegel,Christian Friedel,Alemania,6.1,2776
"13,99 euros",2007,100,Comedia,Jan Kounen,Jan Kounen,Jean Dujardin,Francia,6.3,2083
14 kilómetros,2007,95,Drama,Gerardo Olivares,Gerardo Olivares,Adoum Moussa,España,6.8,2019
1408,2007,104,Terror,Mikael Håfström,Mikael Håfström,John Cusack,Estados Unidos,5.8,27508
1492: La conquista del paraíso,1992,155,Aventuras,Ridley Scott,Ridley Scott,Gérard Depardieu,Reino Unido,5.8,9326
15 días contigo (Quince días contigo),2005,94,Drama,Jesús Ponce,Jesús Ponce,Isabel Ampudia,España,6.9,1540
16 calles,2006,105,Thriller,Richard Donner,Richard Donner,Bruce Willis,Estados Unidos,6.1,19944
18 comidas,2010,101,Comedia,Jorge Coira,Jorge Coira,Luis Tosar,España,6.3,5097
1898. Los últimos de Filipinas,2016,129,Bélico,Salvador Calvo,Salvador Calvo,Luis Tosar,España,6.1,11024
1917,2019,119,Bélico,Sam Mendes,Sam Mendes,George MacKay,Reino Unido,7.7,49157
1944,2015,100,Bélico,Elmo Nüganen,Elmo Nüganen,Märt Pius,Estonia,6.3,2005
1945,2017,91,Drama,Ferenc Török,Ferenc Török,Péter Rudolf,Hungría,6.7,1096
1976,2022,95,Drama,Manuela Martelli,Manuela Martelli,Aline Küppenheim,Chile,6.5,1129
1984,1984,113,Ciencia ficción,Michael Radford,Michael Radford,John Hurt,Reino Unido,6.5,11280
1997: Rescate en Nueva York,1981,99,Ciencia ficción,John Carpenter,John Carpenter,Kurt Russell,Estados Unidos,6.1,29558
2 Guns,2013,109,Thriller,Baltasar Kormákur,Baltasar Kormákur,Mark Wahlberg,Estados Unidos,5.8,15419
2 días en París,2007,96,Comedia,Julie Delpy,Julie Delpy,Julie Delpy,Francia,6.2,6286
20.000 especies de abejas,2023,129,Drama,Estibaliz Urresola Solaguren,Estibaliz Urresola Solaguren,Sofía Otero,España,7.4,1591
2010: Odisea dos,1984,116,Ciencia ficción,Peter Hyams,Peter Hyams,Roy Scheider,Estados Unidos,6.1,5611
2046,2004,120,Romance,Wong Kar-Wai,Wong Kar-Wai,Tony Leung Chiu-Wai,Hong Kong,7.1,25053
20th Century Boys - Capítulo 1: El Principio del Fin,2008,142,Fantástico,Yukihiko Tsutsumi,Yukihiko Tsutsumi,Toshiaki Karasawa,Japón,6.2,1260
21 blackjack,2008,123,Thriller,Robert Luketic,Robert Luketic,Jim Sturgess,Estados Unidos,6.3,38147
21 gramos,2003,125,Drama,Alejandro González Iñárritu,Alejandro González Iñárritu,Sean Penn,Estados Unidos,7.6,85931
22 balas (El inmortal),2010,112,Thriller,Richard Berry,Richard Berry,Jean Reno,Francia,5.8,5829
22 de julio,2018,143,Thriller,Paul Greengrass,Paul Greengrass,Jonas Strand Gravli,Estados Unidos,6.0,3864
24 Hour Party People,2002,115,Musical,Michael Winterbottom,Michael Winterbottom,Steve Coogan,Reino Unido,7.1,13409
25 Watts,2001,92,Comedia,Juan Pablo Rebella,"Juan Pablo Rebella,",Daniel Hendler,Uruguay,6.8,1159
28 días después,2002,113,Terror,Danny Boyle,Danny Boyle,Cillian Murphy,Reino Unido,6.7,75415
28 semanas después,2007,99,Terror,Juan Carlos Fresnadillo,Juan Carlos Fresnadillo,Robert Carlyle,Reino Unido,6.4,41210
2:37 (La hora del suicida),2006,95,Drama,Murali K. Thalluri,Murali K. Thalluri,Teresa Palmer,Australia,6.1,1248
3 Idiots,2009,160,Comedia,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,India,7.5,2889
300,2006,117,Acción,Zack Snyder,Zack Snyder,Gerard Butler,Estados Unidos,7.2,145359
303,2018,120,Romance,Hans Weingartner,Hans Weingartner,Mala Emde,Alemania,6.5,1410
37º2 le matin,1986,178,Romance,Jean-Jacques Beineix,Jean-Jacques Beineix,Jean-Hugues Anglade,Francia,7.0,1265
"4 meses, 3 semanas, 2 días",2007,113,Drama,Cristian Mungiu,Cristian Mungiu,Anamaria Marinca,Rumanía,7.2,20024
