AÑO,DECADA,AÑO_NM,MINUTOS,HORAS,DURACION_NM,GENERO,GENERO_NUM,GENERO_NM,DIRECCION,DIRECCION_NUM,PROTAGONISTA,PROTAGONISTA_NUM,JUAN_PALOMO,PAIS,PAIS_NUM,PAIS_NM,VOTOS,POPULARIDAD,POPULARIDAD_NM,NOTA
2008,100,6.485135135135135,115,1,6.486925287356322,Drama,7,6.638080216313655,Philippe Claudel,1708,Kristin Scott Thomas,1263,0,Francia,29,6.605418719211823,6116,1,6.494793536804309,7.1
2006,100,6.53855421686747,126,2,6.708482438701127,Aventuras,2,6.480645161290322,Werner Herzog,2159,Christian Bale,391,0,Estados Unidos,26,6.506012378426171,7192,1,6.494793536804309,6.4
2000,100,6.689215686274509,122,2,6.708482438701127,Drama,7,6.638080216313655,Ed Harris,551,Ed Harris,562,1,Estados Unidos,26,6.506012378426171,4750,1,6.494793536804309,6.5
1988,80,6.66,93,1,6.486925287356322,Aventuras,2,6.480645161290322,Jean-Jacques Annaud,930,John Savage,1103,0,Estados Unidos,26,6.506012378426171,14331,1,6.494793536804309,7.1
2013,110,6.417575757575758,105,1,6.486925287356322,Drama,7,6.638080216313655,Joel Coen,996,Oscar Isaac,1702,0,Estados Unidos,26,6.506012378426171,25522,1,6.494793536804309,6.7
2006,100,6.53855421686747,120,2,6.708482438701127,Drama,7,6.638080216313655,Emilio Estévez,581,Anthony Hopkins,154,0,Estados Unidos,26,6.506012378426171,5472,1,6.494793536804309,6.3
2015,110,6.403048780487804,102,1,6.486925287356322,Thriller,14,6.4992,Gavin Hood,696,Helen Mirren,837,0,Reino Unido,60,6.503030303030303,11233,1,6.494793536804309,6.6
1988,80,6.66,91,1,6.486925287356322,Drama,7,6.638080216313655,Zhang Yimou,2205,Gong Li,772,0,China,17,6.806976744186046,3626,1,6.494793536804309,7.0
2017,110,6.397093023255814,108,1,6.486925287356322,Drama,7,6.638080216313655,Elijah Bynum,572,Timothée Chalamet,2122,0,Estados Unidos,26,6.506012378426171,1050,1,6.494793536804309,5.8
2009,100,6.470779220779221,127,2,6.708482438701127,Drama,7,6.638080216313655,Rodrigo García,1831,Naomi Watts,1634,0,Estados Unidos,26,6.506012378426171,4280,1,6.494793536804309,6.8
